title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Kamen Rider 555	Japanese	2003	Action film, Cyberpunk, Drama, Science fiction, Superhero fiction, Thriller film, Tokusatsu		Ryuta Tasaki	Chika Hamada, Ltsmall, Gt, Lt, Small, Gt Shinichiro Shirakura, Gt Naomi Takebe, Gt Takaaki Utsunomiya	50		is a Japanese tokusatsu television drama. It is the 13th installment in the Kamen Rider Series. It is a joint collaboration between Ishimori Productions and Toei, and was broadcast on TV Asahi from January 26, 2003, to January 18, 2004. This series was the first to use TV Asahi's current logo. It aired as a part of TV Asahi's 2003 Super Hero Time block, alongside Bakuryū Sentai Abaranger. It is the first series marking the debut of technology, cybernetics, and greek letter motif.		
Kamen Rider Blade	Japanese	2004	Action film, Fantasy, Superhero fiction, Tokusatsu	TV Asahi	Hidenori Ishida	Saeko Matsuda, Ltsmall, Gt, Lt, Small, Gt Jun Hikasa, Gt Naomi Takebe, Gt Takaaki Utsunomiya	49		is a Japanese tokusatsu superhero television series. It is the fourteenth installment in the Kamen Rider Series. It aired on TV Asahi from January 25, 2004 to January 23, 2005. It is a joint collaboration between Ishimori Productions and Toei. Along with the standard insect motif of the Kamen Rider series, Kamen Rider Blade also uses a playing card motif. Each Rider is assigned one of the suits from a deck of cards. It aired as a part of TV Asahi's 2004 Super Hero Time block with Tokusou Sentai ...		
Hello! Morning	Japanese	2000	Talk-Variety show		Developer		354		was a weekly Japanese TV show featuring members of Morning Musume, and sometimes other Hello! Project members on TV Tokyo. It was also known by the shorter name of . On April 1, 2007, the show ended after seven years of broadcast. A new show featuring the same people, entitled , took its place. The program is best known outside Japan due to the "Dramatic Chipmunk," an online phenomenon video. The video is from the seventh episode of the segment Minimoni Chiccha, with Mari Yaguchi, Mika Todd, Noz...		
Double Happiness	Singaporean	2004		Channel 8	Chia Mien Yang	Daisy Chan	141	Ivy Lee, Edmund Chen, Xie Shaoguang, Patricia Mok, Xiang Yun, Huang Yiliang, Aileen Tan, Rayson Tan, Vivian Lai, Alan Tern, Priscelia Chan, Jin Yinji, Hong Huifang, Henry Thia, Jeff Wang, Chen Tianwen, Yao Wenlong, Clarence Neo Jia Jun, Kimberly Wang, Li Xianmin	Double Happiness () is a Singaporean drama series on MediaCorp Channel 8 which was broadcast in March 2004 and ended in January 2005. It stars Ivy Lee, Xie Shaoguang, Edmund Chen, Vivian Lai and Zhang Wei as the casts of this series. It consists two parts, with 70 episodes in this part of the show. It is about a family who operates a Fish And Chips restaurant known as Happy Fish located at East Coast Road. The restaurant has its ups and downs, but eventually it will come out strong, but not with...		
Kamen Rider Agito	Japanese	2001	Action fiction, Horror fiction, Science fiction, Superhero fiction, Supernatural fiction, Tokusatsu	All-Nippon News Network	Ryuta Tasaki	Saeko Matsuda, Ltsmall, Gt, Lt, Small, Gt Shinichiro Shirakura, Gt Naomi Takebe, Gt Hideaki Tsukada	51		is the eleventh installment in the popular Kamen Rider tokusatsu franchise. The series represented the 30th anniversary of the Kamen Rider Series. The series was also a joint collaboration between Asatsu-DK and Toei and was shown on TV Asahi from January 28, 2001, to January 27, 2002. The series served as an indirect sequel to Kamen Rider Kuuga, which this show is set in the same universe as the previous show, and the first Kamen Rider series to not have an ending sequence. The series aired alon...		
Kamen Rider Hibiki	Japanese	2005	Action film, Fantasy film, Musical film, Superhero fiction, Supernatural, Tokusatsu	TV Asahi	Hidenori Ishida	Atsushi Kaji Small Shigenori Takatera Small Shinichiro Shirakura Small Masamichi Tsuchida Small	48		is a Japanese tokusatsu superhero television series, serving as the fifteenth installment in the popular Kamen Rider Series of tokusatsu programs. It is a joint collaboration between Ishimori Productions and Toei. Kamen Rider Hibiki first aired on January 30, 2005 and aired its final episode on January 22, 2006. It aired as a part of TV Asahi's Super Hero Time along with Mahō Sentai Magiranger. It is the first series revolves around music, the natural world, and the balance between light and dar...		
Bayside Shakedown	Japanese	1997	Comedy drama, Police procedural		Creativedirector	Chihiro Kameyama	11	Yūji Oda, Toshirō Yanagiba, Eri Fukatsu, Chosuke Ikariya, Miki Mizuno, Yūsuke Santamaria, Kenta Satoi, Yuki Uchida, Yoshimasa Kondo, Toshihito Ito, Ryoko Shinohara, Katsuhiko Sasaki, Asami Mizukawa, Kiyohiko Shibukawa, Hikaru Ijūin, Tomoe Shinohara, Claude Maki, Yoshihiko Hakamada, Sadao Abe, Maxi Priest	is a Japanese police comedy-drama television series originally broadcast by the Fuji Television group in 1997. The series was developed by Ryoichi Kimizuka and stars Oda Yūji, Toshirō Yanagiba, Eri Fukatsu, Chosuke Ikariya, Miki Mizuno, and Yūsuke Santamaria. In 1998 and 1999, an English-subtitled version of the series was broadcast in the United States on the International Channel, under the title The Spirited Criminal Investigative Network. The series spawned three television films and a stage...		
Truth or Doubt	Japanese								Truth or Doubt 0 1520546 1258699654 1117929944 2024-11-21T03:05:42Z JJMC89 bot III 35936988 Moving :Category:Nippon TV original programming to :Category:Nippon Television original programming per Wikipedia:Categories for discussion/Log/2024 November 13#Category:Nippon TV 1258699654 wikitext text/x-wiki is a Japanese quiz television game show that aired on Nippon Television Network. It debuted on April 3, 2004, and last aired on March 29, 2005. Shosuke Tanihara is the presenter of this programme....		
Legacy for the Future	Japanese								Legacy for the Future 0 1557250 1298295052 1298294972 2025-07-01T16:33:37Z JoeNMLC 39166520 chg unref. to one source tag; ► Wikipedia:WikiProject Unreferenced articles; you can help! ● 1298295052 wikitext text/x-wiki was Japan's first television documentary miniseries. Run on NHK for seventeen installments in 1974 and 1975, the theme of the program was "why civilizations flourished and declined." Footage was seen from over 150 World Heritage Sites in 44 countries. An experimental series of progr...		
Jewel in the Palace	South Korean	2003	Medicine	Munhwa Broadcasting Corporation	Lee Byung Hoon		54		thumb|Logo of the show in [[Hanja]] thumb|The film set of the royal kitchen, as part of the [[Dae Jang Geum Theme Park]] Jewel in the Palace () is a 2003 South Korean historical drama television series directed by Lee Byung-hoon. It first aired on MBC from September 15, 2003, to March 23, 2004, where it was the top program with an average viewership rating of 45.8% and a peak of 57.1% (making it the 10th highest rated Korean drama of all time). Produced for , it was later exported to 91 countrie...		
Virtues of Harmony	Hong Kong	2001	historical drama, sitcom	TVB Jade	Nancy Sit, Frankie Lam, Michael Tse, Zh Joyce Chen, Bondy Chiu, Cutie Mui, Louis Yuen, Zh Yvonne Lam, Zh Johnny Tang, Bernice Liu, Lau Dan, Stephanie Che, Zh Joseph Lee, Hawick Lau, Johnny Ngan, Helen Ma Helen Ma, Timmy Hung, Zh Sherming Yiu, Kingdom Yuen, Maggie Shiu	Tsui Yu On	327		Virtues of Harmony (Traditional Chinese: 皆大歡喜) is a Hong Kong television sitcom produced by Tsui Yu-on for TVB, which originally aired on TVB Jade from 17 September 2001 to 28 December 2002. It stars Nancy Sit, Frankie Lam, Michael Tse, Joyce Chen, Bondy Chiu, Cutie Mui, Louis Yuen, Yvonne Lam, Johnny Tang, Bernice Liu, Lau Dan, Stephanie Che, Joseph Lee, Hawick Lau, Johnny Ngan, Helen Ma, Timmy Hung, Sherming Yiu, Kingdom Yuen & Maggie Shiu. The series, set in the fictional town of Chi Lik Kung...		
Virtues of Harmony II	Hong Kong	2003	Modern Sitcom	Television Broadcasts Limited			443		The Virtues of Harmony II is a long-running TVB television series, which follows its first series, Virtues of Harmony, a series set in Imperial China. It stars Nancy Sit, Frankie Lam, Michael Tse, Joyce Chen, Bondy Chiu, Cutie Mui, Louis Yuen, Yvonne Lam, Johnny Tang, Bernice Liu, Lau Dan, Stephanie Che, Joseph Lee, Hawick Lau, Johnny Ngan, Helen Ma, Timmy Hung, Sherming Yiu, Kingdom Yuen & Maggie Shiu. This new, second series of the Virtues of Harmony is set in Modern Hong Kong.		
Ang Dating Daan	Philippine	1980	Religious broadcasting	Intercontinental Broadcasting Corporation, People's Television Network, Rajah Broadcasting Network, Southern Broadcasting Network, UNTV		Members Church Of God International			(English: The Old Path, Portuguese: O Caminho Antigo, Spanish: El Camino Antiguo) was a religious radio and television program produced by the Members Church of God International. It is primarily hosted by Brother Eli Soriano that began in the last quarter of 1980. It has been recognized as one of the longest-running religious television programs in the World. The name of the program is based on Jeremiah 6:16 of the Bible. While mainly broadcasting in Tagalog (Filipino), some English language el...		
Pelswick	Chinese	2000		CBC Television, China Central Television, Nickelodeon	Charles E Bastien	Alice Bell	26		John Callahan's Pelswick (or simply Pelswick) is a animated comedy television series based on the comic books by John Callahan for CBC and Nickelodeon. It was co-produced by Nelvana Limited and Suzhou Hong Ying Animation Company Limited. Based on Callahan's comics, the series is about the title character, a paraplegic who uses a wheelchair, emphasizing that he lived a normal life. Callahan's dark humor was toned down somewhat, allowing the show to have a positive and life-affirming attitude appr...		
Gosei Sentai Dairanger	Japanese	1993	Action-adventure fiction, Fantasy, Superhero fiction, Tokusatsu	TV Asahi	Yoshiaki Kobayashi	Atsushi Kaji Shinichiro Shirakura Takeyuki Suzuki	50		is a Japanese tokusatsu television series. It was the seventeenth production in the long-running Super Sentai metaseries of television tokusatsu dramas produced by Toei Company, following Kyōryū Sentai Zyuranger. It was originally broadcast from February 19, 1993, to February 11, 1994, replacing Kyōryū Sentai Zyuranger and was replaced by Ninja Sentai Kakuranger. Toei gave this series the name Star Rangers for international distribution. Elements from Dairanger were adapted into the second seaso...		
Triple Nine	Singaporean	1995	Police procedural	Channel 5			5		Triple Nine (Chinese: 九九九行动) is an English language police procedural television series on what was then the Television Corporation of Singapore's Channel 5 (today's MediaCorp TV Channel 5) from 1995 to 1999. As the station's earliest attempt in an action-based drama series, the series revolved around the lives of a group of police officers, namely Inspector Mike Chin (James Lye), Inspector Elaine Tay (Wong Li Lin), and Sergeant Alan Leong (Lim Yu Beng) from the Special Investigation Section of ...	The show was reportedly a hit when it aired throughout Singapore.&lt;ref&gt;https://biblioasia.nlb.gov.sg/vol-20/issue-3/oct-dec-2024/colour-tv-history-singapore/&lt;/ref&gt;	
Kyuukyuu Sentai GoGoFive	Japanese	1999	Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network	Hajime Konaka	Kenji Ōta Small Ken Fukuyoshi Small Jun Hikasa Small Kōichi Yada Small	50		is a Japanese Tokusatsu television series and the twenty-third entry of the long-running Japanese Super Sentai metaseries. Its footage was used in the American television series Power Rangers Lightspeed Rescue. It aired from February 21, 1999, to February 6, 2000, replacing Seijuu Sentai Gingaman, and was replaced by Mirai Sentai Timeranger. It was announced by Shout! Factory on January 9, 2018, that GoGoFive was to be released with English subtitles on DVD in North America. It was released on A...		
Mahō Sentai Magiranger	Japanese	2005	Fantasy fiction, Horror fiction, Superhero fiction, Supernatural, Tokusatsu	All-Nippon News Network	Katsuya Watanabe	Schreck Hedwick Hideaki Tsukada Takaaki Utsunomiya Kōichi Yada	49		is a Japanese Tokusatsu television show and Toei Company's twenty-ninth production of the Super Sentai metaseries. It aired from February 13, 2005, to February 12, 2006, replacing Tokusou Sentai Dekaranger and was replaced by GoGo Sentai Boukenger. The action footage was used in Power Rangers Mystic Force and both shows had scenes simultaneously shot in New Zealand. The main themes of this series are courage and love of family. This series was dubbed into Korean under the title Power Rangers Mag...		
Hyakujuu Sentai Gaoranger	Japanese	2001	Fantasy fiction, Superhero fiction, Tokusatsu	All-Nippon News Network		Jun Hikasa Small, Kenji Ōta Small, Yuka Takahashi Small, Kōichi Yada Small	51		is a Japanese Tokusatsu television series and Toei's twenty-fifth production of the Super Sentai metaseries airing in 2001 and celebrated the franchise's 25th anniversary. After Toei Company filed a trademark on October 25, 2000, it aired from February 18, 2001, to February 10, 2002, replacing Mirai Sentai Timeranger, and was replaced by Ninpuu Sentai Hurricaneger. Footage from this show was used in the 2002 American series Power Rangers Wild Force and was later dubbed in 2010 as the retitled Po...		
Gekisou Sentai Carranger	Japanese	1996	Self-parody, Slice of life, Superhero fiction, Tokusatsu	All-Nippon News Network	Yoshiaki Kobayashi	Tarō Iwamoto, Atsushi Kaji, Kenji Ōta, Shigenori Takatera, Kōichi Yada	48		is a Japanese tokusatsu television show. It was Toei's twentieth production of the Super Sentai metaseries. It is the second vehicle-themed Super Sentai, preceded by Kousoku Sentai Turboranger. It aired from March 1, 1996, to February 7, 1997, replacing Chouriki Sentai Ohranger, and was replaced by Denji Sentai Megaranger. The show was written as a parody of its own franchise. Its action footage was used in Power Rangers Turbo. Toei given the name for international distribution is Car Rangers. O...		
